code,raw_code,date,action_day,time,time_raw,status,price,open,high,low,pre_close,high_limited,low_limited,volume,turnover,num_trades,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,BidPrice6,BidVolume6,AskPrice6,AskVolume6,BidPrice7,BidVolume7,AskPrice7,AskVolume7,BidPrice8,BidVolume8,AskPrice8,AskVolume8,BidPrice9,BidVolume9,AskPrice9,AskVolume9,BidPrice10,BidVolume10,AskPrice10,AskVolume10,total_bid_vol,total_ask_vol,recv_time
000931.SZ,000931,20260420,20260420,10:13:27.000,101327000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11702663,5861.5397,11049,4.98,73200,4.99,171100,4.97,227800,5.0,119500,4.96,439600,5.01,32500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2450900,2254300,15:38:07.605
000931.SZ,000931,20260420,20260420,10:13:30.000,101330000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11702663,5861.5397,11049,4.98,96300,4.99,171100,4.97,227800,5.0,119500,4.96,439600,5.01,32500,4.95,338800,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2474500,2254300,15:38:07.810
000931.SZ,000931,20260420,20260420,10:13:33.000,101333000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11702663,5861.5397,11049,4.98,104000,4.99,171100,4.97,227800,5.0,119500,4.96,439600,5.01,32500,4.95,338800,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2482200,2254300,15:38:08.029
000931.SZ,000931,20260420,20260420,10:13:36.000,101336000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11721663,5871.0017,11050,4.98,85000,4.99,171100,4.97,227800,5.0,119500,4.96,439600,5.01,32500,4.95,338800,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,225500,5.08,29500,4.89,47500,5.09,16500,2464200,2254300,15:38:08.258
000931.SZ,000931,20260420,20260420,10:13:39.000,101339000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11721663,5871.0017,11050,4.98,78400,4.99,171600,4.97,227800,5.0,119500,4.96,439600,5.01,32500,4.95,338800,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,225500,5.08,29500,4.89,47500,5.09,16500,2457600,2254800,15:38:08.517
000931.SZ,000931,20260420,20260420,10:13:42.000,101342000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11721663,5871.0017,11050,4.98,44200,4.99,171600,4.97,227800,5.0,119500,4.96,439600,5.01,32500,4.95,338800,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,225500,5.08,29500,4.89,47500,5.09,16500,2423400,2254800,15:38:08.765
000931.SZ,000931,20260420,20260420,10:13:45.000,101345000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11721663,5871.0017,11050,4.98,56500,4.99,164800,4.97,227800,5.0,119900,4.96,439600,5.01,32500,4.95,338800,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,225500,5.08,29500,4.89,47500,5.09,16500,2435700,2282700,15:38:09.013
000931.SZ,000931,20260420,20260420,10:13:48.000,101348000,79,4.99,5.19,5.19,4.95,5.2,5.72,4.68,11734063,5877.1876,11069,4.98,66200,4.99,154100,4.97,227800,5.0,119900,4.96,439600,5.01,32500,4.95,338800,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,225500,5.08,29500,4.89,47500,5.09,16500,2445400,2272000,15:38:09.239
000931.SZ,000931,20260420,20260420,10:13:51.000,101351000,79,4.99,5.19,5.19,4.95,5.2,5.72,4.68,11894063,5957.0276,11232,4.99,4300,5.0,112200,4.98,75100,5.01,34800,4.97,227200,5.02,12200,4.96,439600,5.03,13100,4.95,338800,5.04,7200,4.94,76200,5.05,110800,4.93,60100,5.06,16100,4.92,173500,5.08,29500,4.91,92300,5.09,16500,4.9,225500,5.1,11600,2458000,2108000,15:38:09.525
000931.SZ,000931,20260420,20260420,10:13:54.000,101354000,79,4.99,5.19,5.19,4.95,5.2,5.72,4.68,11894563,5957.2771,11233,4.99,20500,5.0,119300,4.98,85000,5.01,35800,4.97,227000,5.02,12200,4.96,438400,5.03,13100,4.95,338800,5.04,7200,4.94,76200,5.05,110800,4.93,60100,5.06,16100,4.92,173400,5.08,29500,4.91,92300,5.09,16500,4.9,225500,5.1,11600,2482600,2116100,15:38:09.964
000931.SZ,000931,20260420,20260420,10:13:57.000,101357000,79,4.99,5.19,5.19,4.95,5.2,5.72,4.68,11894563,5957.2771,11233,4.99,53900,5.0,119200,4.98,85200,5.01,36000,4.97,227000,5.02,12200,4.96,438400,5.03,13100,4.95,337800,5.04,7200,4.94,76200,5.05,110800,4.93,60100,5.06,16100,4.92,173400,5.08,29500,4.91,92300,5.09,16500,4.9,225500,5.1,11600,2515200,2116200,15:38:10.454
